"Nation","Type","Title","Description"
"Theocracy","Trait","Nobody Expects the (input name) Inquisition!","“The shadows are the hiding place of the Heretics, Iconoclasts and Defiling Masses, and so from them we shall operate watching the lesser elements for the slightest errors. And when we find it we prosecute it, in the light where it can bathe in God's light.” While other nations might have problems with rebellious elements, terrorists or hippies, the inquisitorial department of a Theocracy does their best to root out heretical enclaves like that and exterminate its members before their heretical misdeeds can be executed. And to do this the Inquisition remains buried in the shadows. Hidden and watching with cold hearts for the slightest sign of faithlessness."
"Theocracy","Trait","Thumbscrews and Hot Pokers","“Truth is what we desire. And truth is what we will find. If we must extract it through the application of pain and suffering, so be it.” The Inquisition uses torture extensively to get the information it believes exists regardless. And it is well practiced at doing so. While it may no longer use the Thumbscrews and Hot Pokers. Its methods are effective regardless."
"Theocracy","Trait","Truth into God's Light","“And thus the heretic was thrust into God's light. His agonising brilliance passing through the pores of the unfaithful as he searched their mind for the truths or placed them there himself.” Torture using the most agonising method possible. The victim is placed into a chamber and energy from the Gods Path drives is unleashed through them. If the victim survives they are seen as pure and innocent, if not they are guilty and into gods hands was the heretics punishment delivered. But God is really really strict apparently. There have been no survivors."
"Theocracy","Trait","Ever Watching the Darkness","“The threats within are naught compared to the threats without. Together we watch and act against those who would threaten the will of God.” The Inquisition watches for those others in the darkness and other nations for any threat to their power and sovereignty. They capture people for interrogation and torture, do whatever they perceive as ‘necessary’"
"Theocracy","Trait","Holy War","“Unto the heretics did we descend with the will of God bolstering our strength. And so didst they fall with the twisted ruins of their faithless hearts.” When a nation of heretics and blasphemers have gone too far with insulting your faith it might be time to just eradicate the whole lot of them and that calls for a holy war. While your enemy might scoff and laugh at your antics they will soon learn to stop laughing and start screaming in terror as wave after wave of fanatical warriors decent upon them with the intent of destroying all in their path and will not rest until the high clergy and the god(s) of the Theocracy are satisfied that the religious injustice is paid in full."
"Theocracy","Trait","Convert or Die!","“And unto the Altar was the man placed. A choice given him, pray unto God, or his heart would be sacrificed to cleanse his sin of disbelief so he might enter the afterlife clean.” The Theocracy has a simple policy of convert to the religion. Or perish upon its altars. This can force a planet's population to bow before the new God more quickly than a slow ‘natural’ conversion."
"Theocracy","Trait","FOR THE FAITH!!!","“And so the meek rose to resist the invaders who sought to remove their gaze from the face of god. And numerous were they.” The citizenry of the Theocracy will rise to repel invasions believing their very faith and religion itself to be under threat from the invader. While they will be so poorly armed as to be meaningless to a soldier normally. So in their numbers would they make up this shortfall."
"Theocracy","Trait","Will of God","The Theocracy troops are fanatically loyal. Especially in battle with the prospect of meeting their god should they fall in battle. They will never waver. Never fall back. Never ever defy an order to hold. Unfortunately the do tend to be difficult to order AWAY from a battle."
"Theocracy","Trait","Purge the Unclean","The Theocracy likes to cleanse the enemy with light. And when that is unavailable they use fire. Lots of fire. Fire until the fire is on fire. BURN BABY BURN! (All Theocracy infantry units are in possession of at least one flamethrower.)"
"Theocracy","Trait","Fanatical Devotion","The Theocracy has its troops with fanatical dedication to their cause. From time to time it will take a starship, fighter, tank or other piece of equipment and fit it with a bomb. Typically a fusion bomb. So when the high priest said “let there be light” little Jimmy said. “Yes sir.”"
"Theocracy","Trait","Shield of Faith","Devotion to their God or Gods is so paramount that they will defend their ships with their very lives. It is not unusual to see smaller Theocracy vessels, fighters, even cruisers flying into the path of enemy fire that would otherwise have crippled or killed more valuable ships in the theocratic fleet."
"Theocracy","Trait","WOLOLO!",":Key: Roses are red, WOLOLO, Roses are Blue. Your missionaries are convincing, potent and dedicated to say the very least. Whether there is something else behind it you will never know."
"Theocracy","Trait","Space Pope","You have a spiritual leader who serves as the leader for the entire nations faith, elected by the clergy into power this individual is largely a figurehead intended to draw the attention away from the much quieter, and messier, politics in the background, but they are the direct speaker of the gods! So that’s nice."
"Theocracy","Flaw","Doctrine is the law of the Almighty","Your people, your nation live according to ancient doctrines passed down from generations and should be followed by everyone. That the alien races don’t know the doctrine is their mistake not yours and any good diplomatic relations could be thrown out of the window instantly when all of a sudden the foreign diplomat breaks the divine rule of ""Thou shall not pick your nose on the seventh hour of the seventh day of the seventh month!”"
"Theocracy","Flaw","Science equals Heresy","Science... It brings the means to further spread the word of the divine but sometimes scientists discover something that is against doctrine and which is instantly labelled as heresy and dealt with severely."
"Theocracy","Flaw","CRUSADE!!!","When a Theocracy’s Shrineworlds are attacked there is no greater insult to them and their religion. The Theocracy will almost instantly go into a state of total unrelenting war. They WILL mobilise ships and armies, they WILL attack almost mindlessly. However they WILL prioritise re-taking their Shrineworlds over any other consideration."
"Theocracy","Flaw","No Thanks","You might be a bit too preachy, even for a theocracy, your neighbours have a strong habit of rejecting your nation, its faith and everything else. You just really aren’t really welcome. At least they’re usually polite… usually."
"Theocracy","Flaw","Refusal to Adapt","Your nation’s doctrines, religion and culture has made it dangerously incapable of adapting to new threats in a timely manner and are more likely to dismiss a threat until significant damage is done."
"Theocracy","Flaw","Pure as a Puritan","Your nation is particularly vulnerable to contraband because of the sheer amount of stuff that your faith forbids people to engage in. Like, smut, I can sort of understand, but who bans pineapples?!"
"Warlord State","Trait","Master Military","The Warlords are the most skilled military-based nation in the universe. They are better generals and tacticians than anyone else. When it comes to direct action, Warlords know best."
"Warlord State","Trait","Siege Guns",":Key: The Warlords do enjoy the deployment of large spinal siege weapons on their capitals and supercapitals."
"Warlord State","Trait","Heavy Batteries","Where many races might prefer an even mix of firepower a Warlord focuses his firepower on heavy weapons and the ability to do massive amounts of damage. As such 75% of their vessels weapons are Heavy Weapon Batteries."
"Warlord State","Trait","AEGIS Point Defence","The Warlords do not neglect Point Defence. The Aegis is in fact a network of point defence weaponry. While it isn’t normally a “Main Weapon” when you’re fighting off waves of strike craft it definitely is."
"Warlord State","Trait","Psychological Controls","You brainwash your enemies using subliminal messages, psychological influence controls and other questionable methods. It isn’t as outright efficient as Slavery and takes more time. But when it works nobody can dispute the results."
"Warlord State","Trait","Extermination Camps","The easiest way to control a population is to drastically cut its numbers. Well it helps if you order them very nicely. Here, have a shower. (No offence intended.)"
"Warlord State","Trait","Work Camps","What keeps newly conquered people happy and quiet? Forced Labour! Let them see that you are rebuilding their broken nation by participating! Surely they can’t complain about helping to rebuild their homes and industries, you only use the lash out of love!"
"Warlord State","Trait","Relocation, Relocation, Relocation","Not quite so heartless as to have open Extermination Camps you slap as many malcontents into sealed cargo containers (re-entry capable) and fire them off into space with a one-use hyperdrive. Of course, you’re kind enough to aim them at a Star System, and where you think a planet might be.... Aren’t you?"
"Warlord State","Trait","Hostages","While not death camps as far as the conquered are concerned it damn will be if they don’t toe the line and do what they’re told! After all, It’s their ‘proud national spirit’ or their families. As far as you are concerned they can only have one. And it’s their choice."
"Warlord State","Trait","Rain of Fire","The Warlord deploys their armies without dropships. They simply load the troops, tanks or other material into a simple object designed to be dropped from orbit through the atmosphere onto the planet below. These pods or ‘tanks’ depending on the contents need to be recovered after the battle unlike Dropships."
"Warlord State","Trait","Linebreakers","The Warlord can purchase a units of Linebreaker tanks though the number of tanks in the unit is cut by half compared to normal elements these Superheavy tanks have better shields, armour and weapons than their lesser cousins. The Warlord deploys these units en-masse to break enemy lines. Hard."
"Warlord State","Trait","Maskelyne","Deception in warfare is not an oft-practiced element. But it is one of yours. There is no simple line, no practiced formations that lead to an enemies defeat. There is deceit. Trickery and downright tomfoolery! You’ll try many tactics to bypass the enemy’s expectations."
"Warlord State","Trait","On all Fronts","Only a fool simply attacks a single point of an enemy’s defence. Certainly one can bring more force to bear against a single target. But so too can the enemy concentrate their defences on a single point. No, a wise Warlord spreads out his assault across a broad front and force the enemy to either concentrate on one point and concede all others, or spread himself thin and run the risk of the Warlord re-directing his reserves in a single line-smashing hit."
"Warlord State","Trait","Gigadeath Tanks",":Key: Your nation does not deploy tanks. It does not deploy superheavy tanks. It deploys grounded starships. (Cannot take with Linebreakers or Maskelyne) The grotesque firepower available is terrible to behold."
"Warlord State","Trait","Superdreadnought","(Requires: Siege Guns) You have access to the largest class of starship it is possible to have. This monstrous vessel is phenomenally expensive, but it brings a firepower to the field that is quite capable of challenging entire fleets."
"Warlord State","Flaw","Military Intelligence","The Warlords are not the universe's most natural intelligence gatherers. While they can keep their own information secure as well as anyone, their attempts at gathering information could be described as bumbling at best."
"Warlord State","Flaw","Walkers","For some unfathomable reason, your nation promoted someone with a mech obsession into a position of power and influence, this could normally be compensated for, however your nation just isn’t very good at it. Instead of regular armoured vehicles you deploy mechs and walkers. And not great ones either."
"Warlord State","Flaw","The Enemy can Drown in the Blood of our Dead!","(Cannot take with Master Military) Your generals are strong believers in the calculus of war, namely, if their numbers are bigger, they win, HAHA! They will throw your troops, armour, ships and cooks at the enemy to drown them beneath superior numbers. Even if outnumbered."
"Warlord State","Flaw","Sore Losers","(Cannot take with Master Military) Your leadership is topheavy with sycophantic figures, demagogues and the cattle that follow them, instead of learning from their errors, when faced with defeat the generals and leaders often choose to take their own lives to dispel the shame of their actions."
"Warlord State","Flaw","Crippled by Beancounters","Your government is not quite up to scratch with the concept of a dictatorship, and decisions by the civil government will all too often cripple or tie the hands of the military to prosecute the actions that are necessary in the near future."
